ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
GAB,Gabon,0.67                    ,0.67                    ,0.67                    ,0.67                    ,0.67                    ,0.67                    ,0.67                    ,0.67                    ,0.67                    ,0.67                    ,0.67                    ,0.67                    ,0.67                    ,0.67                    ,0.67                    ,0.67                    ,0.67                    ,0.67                    ,0.674                    ,0.674                    
GMB,Gambia,0.438                    ,0.438                    ,0.438                    ,0.438                    ,0.438                    ,0.438                    ,0.438                    ,0.438                    ,0.438                    ,0.438                    ,0.438                    ,0.438                    ,0.438                    ,0.438                    ,0.438                    ,0.438                    ,0.438                    ,0.438                    ,0.441                    ,0.441                    
GEO,Georgia,0.741                    ,0.741                    ,0.741                    ,0.741                    ,0.741                    ,0.741                    ,0.741                    ,0.741                    ,0.741                    ,0.741                    ,0.741                    ,0.741                    ,0.741                    ,0.741                    ,0.741                    ,0.741                    ,0.741                    ,0.741                    ,0.744                    ,0.744                    
DEU,Germany,0.911                    ,0.911                    ,0.911                    ,0.911                    ,0.911                    ,0.911                    ,0.911                    ,0.911                    ,0.911                    ,0.911                    ,0.911                    ,0.911                    ,0.911                    ,0.911                    ,0.911                    ,0.911                    ,0.911                    ,0.911                    ,0.911                    ,0.911                    
GHA,Ghana,0.571                    ,0.571                    ,0.571                    ,0.571                    ,0.571                    ,0.571                    ,0.571                    ,0.571                    ,0.571                    ,0.571                    ,0.571                    ,0.571                    ,0.571                    ,0.571                    ,0.571                    ,0.571                    ,0.571                    ,0.571                    ,0.573                    ,0.573                    
GRC,Greece,0.854                    ,0.854                    ,0.854                    ,0.854                    ,0.854                    ,0.854                    ,0.854                    ,0.854                    ,0.854                    ,0.854                    ,0.854                    ,0.854                    ,0.854                    ,0.854                    ,0.854                    ,0.854                    ,0.854                    ,0.854                    ,0.853                    ,0.853                    
GRD,Grenada,0.743                    ,0.743                    ,0.743                    ,0.743                    ,0.743                    ,0.743                    ,0.743                    ,0.743                    ,0.743                    ,0.743                    ,0.743                    ,0.743                    ,0.743                    ,0.743                    ,0.743                    ,0.743                    ,0.743                    ,0.743                    ,0.744                    ,0.744                    
GTM,Guatemala,0.626                    ,0.626                    ,0.626                    ,0.626                    ,0.626                    ,0.626                    ,0.626                    ,0.626                    ,0.626                    ,0.626                    ,0.626                    ,0.626                    ,0.626                    ,0.626                    ,0.626                    ,0.626                    ,0.626                    ,0.626                    ,0.628                    ,0.628                    
GIN,Guinea,0.391                    ,0.391                    ,0.391                    ,0.391                    ,0.391                    ,0.391                    ,0.391                    ,0.391                    ,0.391                    ,0.391                    ,0.391                    ,0.391                    ,0.391                    ,0.391                    ,0.391                    ,0.391                    ,0.391                    ,0.391                    ,0.392                    ,0.392                    
GNB,Guinea-Bissau,0.396                    ,0.396                    ,0.396                    ,0.396                    ,0.396                    ,0.396                    ,0.396                    ,0.396                    ,0.396                    ,0.396                    ,0.396                    ,0.396                    ,0.396                    ,0.396                    ,0.396                    ,0.396                    ,0.396                    ,0.396                    ,0.396                    ,0.396                    
GUY,Guyana,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.635                    ,0.638                    ,0.638                    
HTI,Haiti,0.469                    ,0.469                    ,0.469                    ,0.469                    ,0.469                    ,0.469                    ,0.469                    ,0.469                    ,0.469                    ,0.469                    ,0.469                    ,0.469                    ,0.469                    ,0.469                    ,0.469                    ,0.469                    ,0.469                    ,0.469                    ,0.471                    ,0.471                    
HND,Honduras,0.616                    ,0.616                    ,0.616                    ,0.616                    ,0.616                    ,0.616                    ,0.616                    ,0.616                    ,0.616                    ,0.616                    ,0.616                    ,0.616                    ,0.616                    ,0.616                    ,0.616                    ,0.616                    ,0.616                    ,0.616                    ,0.617                    ,0.617                    
HUN,Hungary,0.817                    ,0.817                    ,0.817                    ,0.817                    ,0.817                    ,0.817                    ,0.817                    ,0.817                    ,0.817                    ,0.817                    ,0.817                    ,0.817                    ,0.817                    ,0.817                    ,0.817                    ,0.817                    ,0.817                    ,0.817                    ,0.818                    ,0.818                    
ISL,Iceland,0.893                    ,0.893                    ,0.893                    ,0.893                    ,0.893                    ,0.893                    ,0.893                    ,0.893                    ,0.893                    ,0.893                    ,0.893                    ,0.893                    ,0.893                    ,0.893                    ,0.893                    ,0.893                    ,0.893                    ,0.893                    ,0.895                    ,0.895                    
IND,India,0.583                    ,0.583                    ,0.583                    ,0.583                    ,0.583                    ,0.583                    ,0.583                    ,0.583                    ,0.583                    ,0.583                    ,0.583                    ,0.583                    ,0.583                    ,0.583                    ,0.583                    ,0.583                    ,0.583                    ,0.583                    ,0.586                    ,0.586                    
IDN,Indonesia,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.681                    ,0.684                    ,0.684                    
IRN,"Iran, Islamic Republic of",0.749                    ,0.749                    ,0.749                    ,0.749                    ,0.749                    ,0.749                    ,0.749                    ,0.749                    ,0.749                    ,0.749                    ,0.749                    ,0.749                    ,0.749                    ,0.749                    ,0.749                    ,0.749                    ,0.749                    ,0.749                    ,0.749                    ,0.749                    
